Source_File     ID    Size  Total_Amp 
hits_66.txt     5     2     30.40
hits_66.txt     6     1     23.20
hits_66.txt     7     1     21.37
hits_66.txt     8     4     31.40
hits_66.txt     9     6     51.60
hits_67.txt     0     1     29.76
hits_67.txt     1     1     30.33
hits_67.txt     2     2     24.02
hits_67.txt     3     2     25.96
hits_67.txt     4     1     24.59
hits_67.txt     5     1     20.87
hits_67.txt     6     1     18.07
hits_67.txt     7     1     21.67
hits_67.txt     8     1     23.02
hits_67.txt     9     3     69.12
hits_68.txt     0     1     23.07
hits_68.txt     1     1     24.20
hits_68.txt     2     1     24.20
hits_68.txt     3     2     30.94
hits_68.txt     4     1     26.86
hits_68.txt     5     1     22.11
hits_68.txt     6     2     24.80
hits_68.txt     7     2     22.68
hits_68.txt     8     1     19.39
hits_68.txt     9     1     29.80
hits_69.txt     0     1     21.73
hits_69.txt     1     1     26.63
hits_69.txt     2     2     25.28
hits_69.txt     3     1     2.58
hits_69.txt     4     1     21.09
hits_69.txt     5     2     41.47
hits_69.txt     6     1     18.10
hits_69.txt     7     2     42.19
hits_69.txt     8     1     19.84
hits_69.txt     9     1     31.25
hits_70.txt     0     1     28.23
hits_70.txt     1     1     22.52
hits_70.txt     2     2     32.02
hits_70.txt     3     1     24.44
hits_70.txt     4     3     44.55
hits_70.txt     5     2     24.70
hits_70.txt     6     1     30.70
hits_70.txt     7     1     25.56
hits_70.txt     8     1     23.64
hits_70.txt     9     2     26.37
hits_71.txt     0     1     36.79
hits_71.txt     1     1     31.60
hits_71.txt     2     1     30.41
hits_71.txt     3     2     36.96
hits_71.txt     4     1     30.09
hits_71.txt     5     1     24.01
hits_71.txt     6     2     21.47
hits_71.txt     7     2     21.72
hits_71.txt     8     1     22.33
hits_71.txt     9     1     22.97
hits_72.txt     0     1     25.94
hits_72.txt     1     2     23.40
hits_72.txt     2     1     6.60
hits_72.txt     3     1     27.09
hits_72.txt     4     1     24.19
hits_72.txt     5     1     33.83
hits_72.txt     6     1     26.74
hits_72.txt     7     1     31.34
hits_72.txt     8     1     20.18
hits_72.txt     9     3     26.46
hits_72.txt     10    1     17.60
hits_73.txt     0     1     21.99
hits_73.txt     1     7     132.28
hits_73.txt     2     2     19.10
hits_73.txt     3     1     23.42
hits_73.txt     4     2     25.13
hits_73.txt     5     3     43.06
hits_73.txt     6     1     46.76
hits_73.txt     7     1     52.00
hits_73.txt     8     1     21.69
hits_73.txt     9     7     84.57
hits_74.txt     0     1     22.74
hits_74.txt     1     1     36.91
hits_74.txt     2     2     47.57
hits_74.txt     3     1     21.94
hits_74.txt     4     2     35.26
hits_74.txt     5     2     21.83
hits_74.txt     6     2     25.98
hits_74.txt     7     2     27.61
hits_74.txt     8     2     17.59
hits_74.txt     9     1     11.14
hits_74.txt     10    2     37.83
hits_75.txt     0     1     20.37
hits_75.txt     1     2     51.34
hits_75.txt     2     2     27.99
hits_75.txt     3     1     44.08
